node,x,y,z
1,62.35580111952793,-157.7114651727438,1183.291909945507
2,59.63074934588204,-161.9963186134961,1193.749636387601
3,64.37549377209234,-158.7368855887872,1194.695241715899
4,68.18392512464033,-152.6280263241288,1191.972746717762
5,67.31725456047714,-147.6084720936347,1186.203005334865
6,62.24854909080931,-146.4176097320749,1180.534891225542
7,55.74398166379608,-149.7053351673337,1178.061695967987
8,51.35343821770641,-155.6774305707127,1180.133240196425
9,50.97743446749064,-159.9632733710865,1184.073008621493
10,51.78174337917491,-161.4875886827205,1186.303522895189
11,52.55357898828932,-162.1722997855922,1187.668401331232
12,53.51593121356927,-162.6534335305076,1188.998779883713
13,54.64114467773575,-162.9177957931979,1190.25705743411
14,55.90205984030951,-162.9590055991615,1191.412862642964
15,57.2631817130937,-162.7754202658678,1192.433178306648
16,53.67889890611039,-157.4973965204463,1208.986670420681
17,61.89570177116351,-151.7050454599424,1210.476946724545
18,67.78060485341405,-140.9528031668508,1204.961601413552
19,65.76105403455807,-132.4518896409413,1194.702382445314
20,56.88636764996861,-130.3668345798007,1184.778204485656
21,45.47047008512817,-135.7111688587794,1180.013142616829
22,37.14938426414463,-145.8910442131196,1182.804210160669
23,36.3252476065915,-153.4202584736304,1189.58083274756
24,37.7943244030532,-156.262033872909,1193.712302692696
25,39.4027119657066,-157.7108462278922,1196.578409842688
26,41.42080089194557,-158.7211330921512,1199.369590851176
27,43.77923967564772,-159.2752343864528,1202.006930936312
28,46.42498478764992,-159.3606878436259,1204.431113811645
29,49.28708516956427,-158.9621902734542,1206.564159973223
30,46.50279354632961,-144.4976509840605,1226.971731791039
31,55.69299236415454,-136.9920202345797,1227.614732154752
32,60.97929171488892,-124.2846293086024,1219.62126833848
33,57.71693392370521,-114.7849748627762,1207.267774269385
34,47.2315448669051,-112.3214946590059,1195.542417186264
35,33.7454644146716,-117.8862021720359,1189.166857185643
36,22.70157198576771,-129.2408800384509,1190.72185375085
37,20.57741046316027,-138.406634401264,1197.980497296177
38,22.20953633006573,-142.3948545508049,1203.398902550585
39,24.66715964703302,-144.8580432735444,1208.026928904413
40,27.88089176997689,-146.5382500227707,1212.542916262434
41,31.68860315328573,-147.4328495155821,1216.800915193052
42,35.98539647933391,-147.517196702037,1220.683623567494
43,40.65066149599985,-146.72748878661,1224.020815135102
44,39.51287062079442,-128.3103830551581,1243.075896328479
45,46.86610440482715,-119.8919296878575,1241.184993197741
46,50.24927197853267,-107.9666233030348,1232.288634021574
47,46.27206143675153,-99.44204992840932,1220.275137881816
48,36.22357740125937,-97.08121803756286,1209.038352786291
49,23.36076273489741,-101.6493264460614,1202.220377146964
50,11.8527489365408,-111.6657469381282,1202.031072344147
51,7.328247800295335,-120.7487938827714,1207.085224899448
52,7.969449982958999,-125.9818276723181,1212.868437950278
53,10.76169917625172,-129.9011284184044,1219.243764103394
54,14.99224500378954,-132.4554116443556,1225.529967079261
55,20.25215447962432,-133.6911968169259,1231.41189629052
56,26.30935332858949,-133.5539593669665,1236.630033120335
57,32.92184225726763,-131.8442468547756,1240.771618778575
58,36.39164887579732,-165.4319389649445,1188.124940296321
59,38.76510111887699,-168.4528697747679,1188.542715062098
60,40.35132110231013,-170.4299642318147,1191.888031467776
